Date,Price,volume,price_eth
2022-07-25 00:00:00+00:00,22618.25992807625,23564816055.0,1601.468400041958
2022-07-25 00:15:00+00:00,22491.900570777583,23786707444.0,1584.3489802630204
2022-07-25 00:30:00+00:00,22399.83674318835,24233805431.0,1566.2388063372473
2022-07-25 00:45:00+00:00,22329.798778770397,24590214072.0,1561.0877582155204
2022-07-25 01:00:00+00:00,22293.43296722943,24825427070.0,1556.0644641541548
2022-07-25 01:15:00+00:00,22299.687023978397,25032721796.0,1556.2895797804415
2022-07-25 01:30:00+00:00,22194.953883924467,25329607406.0,1545.2119633672348
2022-07-25 01:45:00+00:00,22213.36043610813,25553095022.0,1545.2144358256312
2022-07-25 02:00:00+00:00,22175.24469768109,25676094673.0,1537.695040878398
2022-07-25 02:15:00+00:00,22071.86589855685,26025082249.0,1530.3089678370327
2022-07-25 02:30:00+00:00,21979.337198601723,26391774270.0,1523.8520227913298
2022-07-25 02:45:00+00:00,21980.4643194736,26605787005.0,1522.7579506474367
2022-07-25 03:00:00+00:00,21955.35332204877,26687341483.0,1522.564439579592
2022-07-25 03:15:00+00:00,21882.71607595363,26877671929.0,1515.3587477830313
2022-07-25 03:30:00+00:00,21881.564159479192,27032008436.0,1516.2521942042274
2022-07-25 03:45:00+00:00,21855.426719194704,27286446090.0,1509.5436418839834
2022-07-25 04:00:00+00:00,21806.555493911805,27481840967.0,1506.65548912577
2022-07-25 04:15:00+00:00,21847.60611801449,27676613442.0,1514.4089954613114
2022-07-25 04:30:00+00:00,21830.663834653307,27770564447.0,1513.655946155132
2022-07-25 04:45:00+00:00,21890.687745977702,27933653247.0,1518.4986994144444
2022-07-25 05:00:00+00:00,21920.28808021248,28137403679.0,1524.178584733737
2022-07-25 05:15:00+00:00,21877.339203520503,27855903353.0,1523.0027856575578
2022-07-25 05:30:00+00:00,21888.44398243604,27813534115.0,1522.7304010604948
2022-07-25 05:45:00+00:00,21908.19784536706,27800798119.0,1524.916639659994
2022-07-25 06:00:00+00:00,21925.78722908648,27811453430.0,1526.5323496946548
2022-07-25 06:15:00+00:00,21913.5813989957,27830146014.0,1522.499457794225
2022-07-25 06:30:00+00:00,21865.595928044128,27881150718.0,1519.400402908806
2022-07-25 06:45:00+00:00,21891.988024952432,28007491537.0,1519.3434236238231
2022-07-25 07:00:00+00:00,21938.242827190457,27923610524.0,1523.5127314983397
2022-07-25 07:15:00+00:00,21944.127052679585,28093371855.0,1523.1442618958083
2022-07-25 07:30:00+00:00,21963.037714709862,28100030850.0,1524.7358611479633
2022-07-25 07:45:00+00:00,21969.245429128576,28112340878.0,1524.4929386962954
2022-07-25 08:00:00+00:00,21922.082226804017,28072200607.0,1519.523028084216
2022-07-25 08:15:00+00:00,21915.2717130404,28100721660.0,1516.3232376151516
2022-07-25 08:30:00+00:00,21986.26671826808,28229314496.0,1530.2445411250171
2022-07-25 08:45:00+00:00,22051.43298024404,28565656152.0,1537.302277711891
2022-07-25 09:00:00+00:00,22064.64710995441,28707221599.0,1538.1431347518298
2022-07-25 09:15:00+00:00,22047.51960456267,28733539627.0,1534.9646312838872
2022-07-25 09:30:00+00:00,22059.533270645632,28822688392.0,1536.7680924933106
2022-07-25 09:45:00+00:00,22018.682657498783,28885028720.0,1534.9809467551386
2022-07-25 10:00:00+00:00,21992.61082106128,28960117938.0,1535.3258214525829
2022-07-25 10:15:00+00:00,22041.747092621117,29064079407.0,1542.3974612951183
2022-07-25 10:30:00+00:00,22034.67744022124,29071319920.0,1542.6841793255917
2022-07-25 10:45:00+00:00,22063.90773243269,29092440453.0,1546.7124735678256
2022-07-25 11:00:00+00:00,22042.114360349085,29142054379.0,1545.216904562987
2022-07-25 11:15:00+00:00,22012.63349086497,28958512033.0,1540.8921602574028
2022-07-25 11:30:00+00:00,22015.458788859283,28885974706.0,1540.6401097845255
2022-07-25 11:45:00+00:00,21989.612000555306,28914055427.0,1539.5693681140574
2022-07-25 12:00:00+00:00,21890.238133187824,28934721786.0,1525.5566495585044
2022-07-25 12:15:00+00:00,21921.843855346982,29034519217.0,1527.409041215136
2022-07-25 12:30:00+00:00,21933.864727568136,29069270895.0,1528.950124137246
2022-07-25 12:45:00+00:00,21964.574898139817,28997223055.0,1532.9067388388842
2022-07-25 13:00:00+00:00,21920.975070196764,28901668531.0,1527.8641133947265
2022-07-25 13:15:00+00:00,21944.458848751347,29159974337.0,1528.7653045690404
2022-07-25 13:30:00+00:00,21916.68686418688,29588358194.0,1523.8379553427026
2022-07-25 13:45:00+00:00,21933.176625125383,29841125208.0,1524.3520659593144
2022-07-25 14:00:00+00:00,21869.4566689606,29879373684.0,1517.4732744941057
2022-07-25 14:15:00+00:00,21777.766812241,29913545603.0,1509.285928740065
2022-07-25 14:30:00+00:00,21816.83796679569,30150655032.0,1517.1580998759532
2022-07-25 14:45:00+00:00,21882.697524866344,30213527107.0,1523.1328255417227
2022-07-25 15:00:00+00:00,21847.07328360754,30329173773.0,1520.8252568830328
2022-07-25 15:15:00+00:00,21795.54649494305,30330008266.0,1516.2600530320635
2022-07-25 15:30:00+00:00,21889.90067767567,30511181875.0,1526.102974162386
2022-07-25 15:45:00+00:00,21901.1031031774,30580022997.0,1526.3756967372467
2022-07-25 16:00:00+00:00,21954.198428741554,25711474455.0,1530.039753948666
2022-07-25 16:15:00+00:00,21890.57158222674,25738007705.0,1520.818087638273
2022-07-25 16:30:00+00:00,21904.196643124928,25772287424.0,1521.101268233979
2022-07-25 16:45:00+00:00,21955.667910182197,25944810315.0,1528.1995291641874
