Date,Price,volume
2020-05-04 22:30:00+00:00,8933.09136837,45778798725.0
2020-05-04 22:45:00+00:00,8916.49750208,45700554568.0
2020-05-04 23:00:00+00:00,8922.09430425,45665759903.0
2020-05-04 23:15:00+00:00,8925.1015175,45599590276.0
2020-05-04 23:30:00+00:00,8895.51838678,45585914294.0
2020-05-04 23:45:00+00:00,8912.65460539,45718796276.0
2020-05-05 00:00:00+00:00,8944.29579474,45752896399.0
2020-05-05 00:15:00+00:00,8911.70861901,45626688632.0
2020-05-05 00:30:00+00:00,8909.61094431,45512854615.0
2020-05-05 00:45:00+00:00,8919.56348091,45361011369.0
2020-05-05 01:00:00+00:00,8902.55175869,45144363452.0
2020-05-05 01:15:00+00:00,8897.40404999,44227861618.0
2020-05-05 01:30:00+00:00,8893.47341013,43235084900.0
2020-05-05 01:45:00+00:00,8912.19310006,43984377166.0
2020-05-05 02:00:00+00:00,8905.8130405,43770561755.0
2020-05-05 02:15:00+00:00,8890.48763423,43595538897.0
2020-05-05 02:30:00+00:00,8885.8788282,43474981860.0
2020-05-05 02:45:00+00:00,8886.33874343,43420336019.0
2020-05-05 03:00:00+00:00,8874.28658717,43263125782.0
2020-05-05 03:15:00+00:00,8880.627002,43259181230.0
2020-05-05 03:30:00+00:00,8894.71836771,43329305773.0
2020-05-05 03:45:00+00:00,8899.80980282,43318978384.0
2020-05-05 04:00:00+00:00,8928.17222671,43301445665.0
2020-05-05 04:15:00+00:00,8933.76693148,43242726347.0
2020-05-05 04:30:00+00:00,8943.34479372,42655445899.0
2020-05-05 04:45:00+00:00,9023.30737041,43344039445.0
2020-05-05 05:00:00+00:00,9052.6460394,43623584412.0
2020-05-05 05:15:00+00:00,9042.47050785,43504503467.0
2020-05-05 05:30:00+00:00,9020.68777492,43180469069.0
2020-05-05 05:45:00+00:00,9025.50597287,43251102172.0
2020-05-05 06:00:00+00:00,9028.55102803,43138135172.0
2020-05-05 06:15:00+00:00,9010.33212778,43002320288.0
2020-05-05 06:30:00+00:00,9008.47567281,43130662022.0
2020-05-05 06:45:00+00:00,9004.90362894,43174218875.0
